Devices
1000
,,FP1_4719 - Force,,,FP1_4719 - Moment,,,FP1_4719 - CoP,,,FP1_4719 - Raw,,,,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Pin 1,Pin 2,Pin 3,Pin 4,Pin 5,Pin 6
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,V,V,V,V,V,V
19,0,26.264,-1.11433,-557.931,42826.1,64915.1,2339.56,348.125,177.241,0,-0.185242,0.0241089,0.975342,-0.653992,1.03424,-0.072937
19,1,26.3092,-0.752442,-557.754,42841.5,64834.7,2303.11,348.018,177.189,0,-0.185547,0.0265503,0.975037,-0.653992,1.03302,-0.0717163
19,2,26.0903,-0.884121,-558.11,42700,64555.4,2348.98,347.443,177.492,0,-0.184021,0.0256348,0.975647,-0.651855,1.02844,-0.0732422
19,3,26.0464,-0.974055,-558.11,42753.9,64402.4,2376.27,347.169,177.395,0,-0.183716,0.0250244,0.975647,-0.652771,1.026,-0.0741577
20,0,26.2289,-1.10822,-557.934,42728.7,64257.9,2349.19,346.946,177.416,0,-0.184937,0.0241089,0.975342,-0.652466,1.02386,-0.0732422
20,1,25.9621,-1.01398,-557.232,42771.4,64055.6,2358.49,346.728,177.243,0,-0.183105,0.0247192,0.974121,-0.653076,1.02051,-0.0735474
20,2,25.9198,-0.875832,-557.058,42661.3,64018.5,2340.51,346.698,177.417,0,-0.1828,0.0256348,0.973816,-0.651245,1.0199,-0.072937
20,3,25.6085,-0.872514,-556.885,42661.2,63780.8,2386.19,346.306,177.393,0,-0.180664,0.0256348,0.973511,-0.651245,1.01593,-0.0744629
21,0,25.4741,-0.781957,-557.239,42645.4,63671.1,2359.04,346.037,177.47,0,-0.179749,0.0262451,0.974121,-0.65094,1.0141,-0.0735474
21,1,25.5233,-0.913954,-556.712,42601,63493.5,2350.26,345.826,177.477,0,-0.180054,0.0253296,0.973206,-0.65033,1.01135,-0.0732422
21,2,24.9858,-0.728737,-556.013,42589.9,63458.9,2377.77,345.907,177.401,0,-0.176392,0.0265503,0.971985,-0.650024,1.01044,-0.0741577
21,3,24.6704,-0.682994,-556.018,42669,63337,2332.51,345.687,177.26,0,-0.174255,0.0268555,0.971985,-0.651245,1.0083,-0.0726318
22,0,24.7192,-0.726333,-556.194,42608.7,63102.8,2350.86,345.23,177.392,0,-0.174561,0.0265503,0.97229,-0.65033,1.00464,-0.0732422
22,1,24.8136,-0.769156,-556.194,42567.7,62807.9,2360.14,344.7,177.466,0,-0.175171,0.0262451,0.97229,-0.649719,1.00006,-0.0735474
22,2,24.2316,-0.583282,-555.497,42537.2,62736.3,2351.45,344.712,177.425,0,-0.171204,0.0274658,0.971069,-0.649109,0.998535,-0.0732422
22,3,24.0119,-0.624092,-555.147,42515.8,62436,2397.2,344.242,177.415,0,-0.169678,0.0271606,0.970459,-0.648804,0.993652,-0.0747681
23,0,23.8327,-0.850731,-556.031,42505.4,62252,2397.42,343.733,177.556,0,-0.168457,0.0256348,0.971985,-0.648804,0.990601,-0.0747681
23,1,23.8359,-0.666834,-555.503,42455.4,62134.6,2379.39,343.628,177.573,0,-0.168457,0.0268555,0.971069,-0.647888,0.98877,-0.0741577
23,2,23.3924,-0.796217,-555.159,42372.2,61824.9,2370.98,343.139,177.676,0,-0.165405,0.0259399,0.970459,-0.646667,0.983582,-0.0738525
23,3,23.1233,-0.976463,-555.337,42422.2,61721.8,2452.81,342.918,177.61,0,-0.163574,0.0247192,0.970764,-0.647583,0.98175,-0.0765991
24,0,22.8117,-0.792835,-555.695,42313.6,61503.9,2398.7,342.454,177.855,0,-0.161438,0.0259399,0.971375,-0.645752,0.978088,-0.0747681
24,1,22.456,-1.05788,-554.47,42341.2,61343.1,2353.89,342.409,177.637,0,-0.158997,0.0241089,0.969238,-0.646362,0.975342,-0.0732422
24,2,22.6345,-1.28739,-555.172,42504.6,61083.9,2362.8,341.802,177.439,0,-0.160217,0.022583,0.970459,-0.649109,0.971375,-0.0735474
24,3,22.014,-1.18588,-553.772,42258.1,61013.9,2418.09,341.954,177.69,0,-0.155945,0.0231934,0.968018,-0.645142,0.969849,-0.0753784
25,0,21.9252,-1.27538,-553.775,42312,60804.2,2372.87,341.575,177.594,0,-0.155334,0.022583,0.968018,-0.646057,0.966492,-0.0738525
25,1,21.7937,-1.22744,-553.601,42313.7,60538.4,2364.02,341.129,177.566,0,-0.154419,0.0228882,0.967712,-0.646057,0.962219,-0.0735474
25,2,21.5266,-1.49663,-553.958,42282.3,60318.8,2355.36,340.662,177.672,0,-0.152588,0.0210571,0.968323,-0.645752,0.958557,-0.0732422
25,3,21.2626,-1.39864,-552.555,42190.3,60212,2328.62,340.745,177.645,0,-0.150757,0.0216675,0.965881,-0.644226,0.956726,-0.0723267
26,0,21.0811,-1.71802,-553.79,42253.1,60048.1,2337.8,340.206,177.702,0,-0.149536,0.0195312,0.968018,-0.645447,0.953979,-0.0726318
26,1,20.8631,-1.61997,-552.563,42160.9,59823.2,2311.08,340.04,177.699,0,-0.14801,0.0201416,0.965881,-0.643921,0.950317,-0.0717163
26,2,20.6388,-1.98142,-552.919,42222.3,59659.7,2329.49,339.675,177.637,0,-0.146484,0.0177002,0.966492,-0.645142,0.947571,-0.0723267
26,3,20.4188,-2.02196,-552.394,42201.1,59397.6,2338.95,339.303,177.603,0,-0.144958,0.017395,0.965576,-0.644836,0.943298,-0.0726318
27,0,20.0605,-1.93117,-553.278,42165.5,59163.7,2348.24,338.708,177.79,0,-0.142517,0.0180054,0.967102,-0.644226,0.939331,-0.072937
27,1,19.7502,-2.0161,-552.403,42162,58963.1,2348.68,338.514,177.675,0,-0.140381,0.017395,0.965576,-0.644226,0.935974,-0.072937
27,2,19.7041,-2.19757,-552.406,42270,58848.2,2285.21,338.306,177.48,0,-0.140076,0.0161743,0.965576,-0.646057,0.934143,-0.0708008
27,3,19.4407,-2.23659,-551.883,42152.2,58607.6,2285.76,337.971,177.621,0,-0.138245,0.0158691,0.964661,-0.644226,0.930176,-0.0708008
28,0,19.398,-2.09962,-551.706,42235,58298.9,2294.86,337.445,177.447,0,-0.137939,0.0167847,0.964355,-0.645447,0.925293,-0.071106
28,1,19.0373,-2.14735,-553.472,42173.9,58144.2,2276.89,336.828,177.801,0,-0.135498,0.0164795,0.967407,-0.644531,0.922546,-0.0704956
28,2,18.8164,-2.3219,-551.893,42205.6,58054.3,2259.17,336.966,177.526,0,-0.133972,0.0152588,0.964661,-0.645142,0.921021,-0.0698853
28,3,18.595,-2.3649,-552.248,42164.5,57774.5,2268.56,336.392,177.649,0,-0.132446,0.0149536,0.965271,-0.644531,0.916443,-0.0701904
29,0,18.5083,-2.27103,-551.546,42207.1,57524.7,2223.37,336.072,177.475,0,-0.131836,0.015564,0.96405,-0.645142,0.912476,-0.0686646
29,1,18.0615,-2.35888,-552.081,42106.2,57372.1,2251.04,335.695,177.732,0,-0.128784,0.0149536,0.964966,-0.643616,0.909729,-0.0695801
29,2,17.7959,-2.44421,-551.382,42064,57208.5,2233.33,335.53,177.712,0,-0.126953,0.0143433,0.963745,-0.643005,0.906982,-0.0689697
29,3,17.75,-2.35581,-552.087,42125.1,57017.5,2187.89,335.051,177.698,0,-0.126648,0.0149536,0.964966,-0.643921,0.903931,-0.0674438
30,0,17.3947,-2.39702,-552.091,42065,56762.9,2224.62,334.589,177.808,0,-0.124207,0.0146484,0.964966,-0.643005,0.899658,-0.0686646
30,1,17.2171,-2.30477,-552.093,42068.6,56557.8,2233.84,334.217,177.802,0,-0.122986,0.0152588,0.964966,-0.643005,0.896301,-0.0689697
30,2,17.0395,-2.30186,-551.747,42068.6,56370.7,2143.39,333.943,177.754,0,-0.121765,0.0152588,0.964355,-0.643005,0.89325,-0.065918
30,3,16.7267,-2.34509,-551.927,42047.1,56211,2152.75,333.62,177.818,0,-0.119629,0.0149536,0.964661,-0.6427,0.890503,-0.0662231
31,0,16.6372,-2.16472,-552.28,42112.3,55963.4,2134.56,333.107,177.748,0,-0.119019,0.0161743,0.965271,-0.643616,0.886536,-0.0656128
31,1,16.4593,-2.38827,-551.932,42160.5,55776.6,2089.5,332.832,177.613,0,-0.117798,0.0146484,0.964661,-0.644531,0.883484,-0.0640869
31,2,16.1916,-2.38622,-551.935,42160.4,55614.6,2116.95,332.538,177.614,0,-0.115967,0.0146484,0.964661,-0.644531,0.880737,-0.0650024
31,3,15.8332,-2.0677,-551.941,42192.9,55339.4,2035.44,332.038,177.555,0,-0.113525,0.0167847,0.964661,-0.644836,0.87616,-0.0622559
32,0,15.7456,-2.15618,-551.944,42150.2,55207.7,2008.47,331.799,177.633,0,-0.112915,0.0161743,0.964661,-0.644226,0.874023,-0.0613403
32,1,15.6591,-2.19868,-551.769,42128.8,54998.2,2017.78,331.451,177.648,0,-0.112305,0.0158691,0.964355,-0.643921,0.870667,-0.0616455
32,2,15.4354,-2.10713,-551.95,42151.7,54775.6,1963.5,331.015,177.631,0,-0.110779,0.0164795,0.964661,-0.644226,0.867004,-0.0598145
32,3,15.2602,-2.05811,-551.776,42095.5,54512.2,1972.9,330.569,177.709,0,-0.109558,0.0167847,0.964355,-0.643311,0.862732,-0.0601196
33,0,15.1731,-2.00993,-551.25,42097.5,54360.1,1973.08,330.388,177.633,0,-0.108948,0.0170898,0.96344,-0.643311,0.860291,-0.0601196
33,1,14.9494,-1.91783,-551.078,42159.2,54136.7,1909.71,330.013,177.497,0,-0.107422,0.0177002,0.963135,-0.644226,0.856628,-0.0579834
33,2,14.8612,-1.9635,-552.136,42079.1,53929.7,1909.89,329.45,177.789,0,-0.106812,0.017395,0.964966,-0.643005,0.853271,-0.0579834
33,3,14.5938,-1.9602,-551.613,42137.1,53688.4,1855.73,329.105,177.611,0,-0.10498,0.017395,0.96405,-0.643921,0.849304,-0.0561523
34,0,14.4164,-2.04883,-551.792,42113.6,53503.2,1874.13,328.738,177.678,0,-0.10376,0.0167847,0.964355,-0.643616,0.846252,-0.0567627
34,1,14.2848,-2.13626,-551.62,42090.3,53276,1829.09,328.356,177.697,0,-0.102844,0.0161743,0.96405,-0.643311,0.84259,-0.0552368
34,2,14.0139,-1.86545,-551.976,42120.9,53172.1,1765.56,328.105,177.691,0,-0.101013,0.0180054,0.964661,-0.643616,0.840759,-0.0531006
34,3,14.1543,-1.727,-552.151,41991,52875.5,1765.76,327.538,177.95,0,-0.101929,0.0189209,0.964966,-0.641479,0.836182,-0.0531006
35,0,13.748,-1.95295,-551.98,42193.7,52718.8,1756.83,327.284,177.559,0,-0.0991821,0.017395,0.964661,-0.644836,0.833435,-0.0527954
35,1,13.8406,-1.63555,-552.154,42129.7,52540.5,1765.86,326.931,177.699,0,-0.0997925,0.0195312,0.964966,-0.643616,0.830688,-0.0531006
35,2,13.705,-1.95449,-553.567,42153.6,52277.4,1693.48,326.212,177.851,0,-0.098877,0.017395,0.967407,-0.644226,0.826416,-0.0506592
35,3,13.5757,-1.85682,-551.809,42139.1,52144.4,1693.82,326.272,177.635,0,-0.0979614,0.0180054,0.964355,-0.643921,0.82428,-0.0506592
36,0,13.3961,-1.90261,-552.517,42155.8,51940.3,1657.66,325.782,177.702,0,-0.0967407,0.0177002,0.965576,-0.644226,0.820923,-0.0494385
36,1,13.3538,-1.71868,-551.814,42163.8,51785.5,1612.41,325.621,177.591,0,-0.0964355,0.0189209,0.964355,-0.644226,0.818481,-0.0479126
36,2,13.1332,-1.89504,-551.291,42156,51542.6,1603.77,325.27,177.532,0,-0.0949097,0.0177002,0.96344,-0.644226,0.814514,-0.0476074
36,3,13.2677,-1.98788,-551.994,42248,51285.3,1576.46,324.684,177.463,0,-0.0958252,0.0170898,0.964661,-0.645752,0.810547,-0.0466919
37,0,13.0026,-2.16472,-551.999,42162.8,51065.2,1595.09,324.285,177.618,0,-0.0939941,0.0158691,0.964661,-0.644531,0.806885,-0.0473022
37,1,12.8681,-2.11827,-552.004,42106.8,51051.4,1495.46,324.259,177.72,0,-0.0930786,0.0161743,0.964661,-0.643616,0.80658,-0.0439453
37,2,12.7776,-1.84791,-552.003,42291.8,50744.7,1486.19,323.703,177.385,0,-0.0924683,0.0180054,0.964661,-0.646362,0.801697,-0.0436401
37,3,12.7844,-1.79738,-551.475,42177.8,50472.5,1504.7,323.298,177.518,0,-0.0924683,0.0183105,0.963745,-0.644531,0.797424,-0.0442505
38,0,12.4691,-1.84263,-551.832,42252.8,50293.2,1468.55,322.914,177.432,0,-0.090332,0.0180054,0.964355,-0.645752,0.794373,-0.0430298
38,1,12.3376,-2.0649,-551.308,42223.9,50162.5,1441.72,322.763,177.411,0,-0.0894165,0.0164795,0.96344,-0.645447,0.792236,-0.0421143
38,2,12.1186,-2.15081,-551.312,42123.1,49862.8,1460.35,322.219,177.595,0,-0.0878906,0.0158691,0.96344,-0.643921,0.787354,-0.0427246
38,3,12.2098,-1.96932,-551.135,42150.1,49702.9,1433.07,321.958,177.521,0,-0.088501,0.0170898,0.963135,-0.644226,0.784912,-0.0418091
39,0,11.894,-1.97135,-552.372,42187.7,49467.2,1396.88,321.329,177.624,0,-0.0863647,0.0170898,0.965271,-0.644836,0.780945,-0.0405884
39,1,11.761,-1.87904,-552.375,42133.5,49356.8,1360.76,321.129,177.723,0,-0.0854492,0.0177002,0.965271,-0.643921,0.779114,-0.0393677
39,2,11.6303,-2.10115,-551.851,42162.5,49071,1352.07,320.696,177.598,0,-0.0845337,0.0161743,0.964355,-0.644531,0.774536,-0.0390625
39,3,11.5865,-1.8741,-551.675,42191.4,48917.3,1333.9,320.446,177.521,0,-0.0842285,0.0177002,0.96405,-0.644836,0.772095,-0.0384521
40,0,11.5912,-2.05214,-551.853,42105.9,48646.2,1325.19,319.926,177.701,0,-0.0842285,0.0164795,0.964355,-0.643616,0.767822,-0.038147
40,1,11.6361,-2.18782,-551.5,42235.4,48527,1334.23,319.766,177.417,0,-0.0845337,0.015564,0.963745,-0.645752,0.765991,-0.0384521
40,2,11.2786,-2.18466,-551.508,42158,48407.3,1262.04,319.548,177.559,0,-0.0820923,0.015564,0.963745,-0.644531,0.763855,-0.0360107
40,3,11.1456,-2.32039,-552.213,42190.1,48104.8,1298.5,318.888,177.598,0,-0.0811768,0.0146484,0.964966,-0.645142,0.758972,-0.0372314
41,0,11.2376,-2.36349,-551.687,42226.8,47904.9,1198.84,318.608,177.459,0,-0.0817871,0.0143433,0.96405,-0.645752,0.75592,-0.0338745
41,1,11.0181,-2.40387,-551.338,42128.3,47721.1,1244.63,318.33,177.589,0,-0.0802612,0.0140381,0.96344,-0.644226,0.752869,-0.0354004
41,2,11.0162,-2.13505,-551.865,42197.4,47605.3,1208.1,318.037,177.537,0,-0.0802612,0.0158691,0.964355,-0.645142,0.751038,-0.0341797
41,3,10.5283,-2.39841,-550.818,42186.1,47276.8,1208.84,317.605,177.412,0,-0.0769043,0.0140381,0.962524,-0.645142,0.745544,-0.0341797
42,0,10.3924,-2.30911,-551.171,42266.8,47128.2,1181.57,317.28,177.315,0,-0.0759888,0.0146484,0.963135,-0.646362,0.743103,-0.0332642
42,1,10.6203,-2.30863,-551.877,42111.6,46944.3,1100.08,316.838,177.694,0,-0.0775146,0.0146484,0.964355,-0.643921,0.740356,-0.0305176
42,2,10.2637,-2.57487,-550.827,42197,46745.2,1082.39,316.639,177.393,0,-0.0750732,0.0128174,0.962524,-0.645447,0.737,-0.0299072
42,3,10.2193,-2.66493,-550.828,42231.7,46650.2,1082.46,316.466,177.331,0,-0.0747681,0.012207,0.962524,-0.646057,0.735474,-0.0299072
43,0,9.95335,-2.7979,-551.184,42186.7,46353.1,1091.94,315.872,177.462,0,-0.072937,0.0112915,0.963135,-0.645447,0.730591,-0.0302124
