Devices
1000
,,FP1_4719 - Force,,,FP1_4719 - Moment,,,FP1_4719 - CoP,,,FP1_4719 - Raw,,,,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Pin 1,Pin 2,Pin 3,Pin 4,Pin 5,Pin 6
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,V,V,V,V,V,V
581,2,0,0,0,0,0,0,231.775,254,0,0.020752,0.0189209,0.0177002,0.027771,0.00427246,0.0112915
581,3,0,0,0,0,0,0,231.775,254,0,0.0213623,0.0198364,0.0177002,0.0308228,0.00610352,0.0106812
582,0,0,0,0,0,0,0,231.775,254,0,0.0216675,0.0186157,0.0161743,0.0296021,0.00610352,0.012207
582,1,0,0,0,0,0,0,231.775,254,0,0.020752,0.0177002,0.0164795,0.0302124,0.00610352,0.012207
582,2,0,0,0,0,0,0,231.775,254,0,0.0216675,0.0198364,0.0158691,0.0299072,0.00457764,0.012207
582,3,0,0,0,0,0,0,231.775,254,0,0.0222778,0.0186157,0.0158691,0.0302124,0.00549316,0.0115967
583,0,0,0,0,0,0,0,231.775,254,0,0.0222778,0.0186157,0.0146484,0.0299072,0.00457764,0.012207
583,1,0,0,0,0,0,0,231.775,254,0,0.0222778,0.0195312,0.0170898,0.0289917,0.00518799,0.0119019
583,2,0,0,0,0,0,0,231.775,254,0,0.022583,0.0180054,0.0167847,0.0299072,0.00488281,0.0119019
583,3,0,0,0,0,0,0,231.775,254,0,0.0216675,0.0177002,0.0152588,0.0302124,0.00396729,0.0134277
584,0,0,0,0,0,0,0,231.775,254,0,0.020752,0.0183105,0.0167847,0.0296021,0.00366211,0.0115967
584,1,0,0,0,0,0,0,231.775,254,0,0.0204468,0.0183105,0.0158691,0.0292969,0.00518799,0.012207
584,2,0,0,0,0,0,0,231.775,254,0,0.0210571,0.0201416,0.0164795,0.0296021,0.00396729,0.0128174
584,3,0,0,0,0,0,0,231.775,254,0,0.0216675,0.0195312,0.0158691,0.0286865,0.00427246,0.012207
585,0,0,0,0,0,0,0,231.775,254,0,0.0216675,0.0183105,0.0158691,0.0314331,0.00457764,0.0131226
585,1,0,0,0,0,0,0,231.775,254,0,0.0201416,0.0189209,0.0158691,0.0274658,0.00549316,0.0119019
585,2,0,0,0,0,0,0,231.775,254,0,0.0210571,0.0180054,0.0161743,0.0296021,0.00518799,0.0100708
585,3,0,0,0,0,0,0,231.775,254,0,0.0213623,0.0189209,0.0161743,0.0299072,0.00366211,0.0112915
586,0,0,0,0,0,0,0,231.775,254,0,0.0210571,0.0183105,0.0161743,0.0296021,0.00335693,0.0106812
586,1,0,0,0,0,0,0,231.775,254,0,0.020752,0.0189209,0.0152588,0.0308228,0.00488281,0.0128174
586,2,0,0,0,0,0,0,231.775,254,0,0.0204468,0.017395,0.0143433,0.0292969,0.00457764,0.0109863
586,3,0,0,0,0,0,0,231.775,254,0,0.0210571,0.0186157,0.0167847,0.0274658,0.00671387,0.012207
587,0,0,0,0,0,0,0,231.775,254,0,0.0192261,0.0186157,0.0158691,0.0286865,0.00366211,0.0131226
587,1,0,0,0,0,0,0,231.775,254,0,0.0219727,0.0186157,0.0167847,0.0286865,0.00488281,0.0128174
587,2,0,0,0,0,0,0,231.775,254,0,0.0216675,0.0195312,0.0158691,0.027771,0.00427246,0.0119019
587,3,0,0,0,0,0,0,231.775,254,0,0.0210571,0.0192261,0.0167847,0.0302124,0.00518799,0.0119019
