Devices
1000
,,FP1_4719 - Force,,,FP1_4719 - Moment,,,FP1_4719 - CoP,,,FP1_4719 - Raw,,,,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Pin 1,Pin 2,Pin 3,Pin 4,Pin 5,Pin 6
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,V,V,V,V,V,V
163,1,-3.36896,19.2119,-129.832,11780.4,-966.318,-751.709,224.332,163.264,0,0.0314331,0.144958,0.231628,-0.148621,-0.0128174,0.0360107
163,2,-3.40866,18.7669,-128.075,11742.7,-967.481,-751.164,224.221,162.314,0,0.0317383,0.141907,0.228577,-0.148315,-0.0128174,0.0360107
163,3,-3.49901,18.947,-128.426,11730.9,-981.893,-724.022,224.129,162.656,0,0.0323486,0.143127,0.229187,-0.14801,-0.0131226,0.0350952
164,0,-3.58468,18.6808,-127.727,11603.9,-998.587,-768.891,223.957,163.151,0,0.032959,0.141296,0.227966,-0.146179,-0.0134277,0.0366211
164,1,-3.22432,18.5,-127.372,11577.1,-918.749,-778.011,224.562,163.108,0,0.0305176,0.140076,0.227356,-0.145874,-0.0119019,0.0369263
164,2,-3.35411,18.46,-126.671,11478.8,-1049.51,-777.604,223.49,163.381,0,0.0314331,0.139771,0.226135,-0.144348,-0.0140381,0.0369263
164,3,-3.48603,18.3738,-125.794,11436.9,-1064.39,-786.372,223.314,163.083,0,0.0323486,0.13916,0.224609,-0.143738,-0.0143433,0.0372314
165,0,-3.66838,18.1015,-125.795,11502.7,-900.641,-731.909,224.615,162.56,0,0.0335693,0.137329,0.224609,-0.144958,-0.0119019,0.0354004
165,1,-3.75332,17.88,-125.447,11377.2,-1032.84,-749.571,223.542,163.307,0,0.0341797,0.135803,0.223999,-0.143127,-0.0140381,0.0360107
165,2,-3.5268,17.5657,-124.566,11364.3,-947.762,-749.437,224.166,162.769,0,0.0326538,0.133667,0.222473,-0.143127,-0.0125122,0.0360107
165,3,-3.703,17.4355,-123.337,11320.6,-941.787,-749.052,224.139,162.214,0,0.0338745,0.132751,0.220337,-0.142517,-0.0125122,0.0360107
166,0,-3.74912,17.2545,-123.341,11332.2,-901.536,-830.606,224.466,162.123,0,0.0341797,0.131531,0.220337,-0.142822,-0.0119019,0.0387573
166,1,-3.87931,17.3961,-122.11,11222.9,-877.895,-794.019,224.586,162.092,0,0.0350952,0.132446,0.218201,-0.140991,-0.0115967,0.0375366
166,2,-3.92391,17.034,-122.641,11226.3,-991.328,-821.021,223.692,162.462,0,0.0354004,0.130005,0.219116,-0.141296,-0.0134277,0.0384521
